event_name,bib_number,age,gender,finish_time,pace
Charlotte Trial Race 13m,369,33,M,90.7,6.97692307692308
Charlotte Trial Race 13m,372,36,M,91.0450000007947,7.00346153852267
Charlotte Trial Race 13m,58,24,M,96.1283333341281,7.39448717954831
Charlotte Trial Race 13m,137,35,M,96.6733333349228,7.43641025653252
Charlotte Trial Race 13m,143,40,M,97.5700000007947,7.50538461544575
Charlotte Trial Race 13m,49,44,M,99.2200000007947,7.63230769236883
Charlotte Trial Race 13m,248,51,M,99.2983333349228,7.6383333334556
Charlotte Trial Race 13m,26,31,M,99.8383333325386,7.67987179481066
Charlotte Trial Race 13m,55,38,M,100.345000000795,7.71884615390729
Charlotte Trial Race 13m,318,35,M,101.171666665872,7.78243589737476
Charlotte Trial Race 13m,44,25,M,101.258333333333,7.78910256410256
Charlotte Trial Race 13m,166,45,M,102.288333332539,7.8683333332722
Charlotte Trial Race 13m,113,51,M,102.796666665872,7.90743589737476
Charlotte Trial Race 13m,146,46,M,103.096666665872,7.93051282045169
Charlotte Trial Race 13m,203,30,M,103.129999999205,7.93307692301579
Charlotte Trial Race 13m,25,45,M,103.136666667461,7.93358974365088
Charlotte Trial Race 13m,84,50,M,103.140000001589,7.93384615396842
Charlotte Trial Race 13m,23,24,M,103.448333334923,7.95756410268637
Charlotte Trial Race 13m,50,45,F,103.915000001589,7.9934615385838
Charlotte Trial Race 13m,174,40,M,103.940000001589,7.99538461550688
Charlotte Trial Race 13m,226,48,M,105.245000000795,8.09576923083036
Charlotte Trial Race 13m,239,35,F,105.598333334923,8.12294871807098
Charlotte Trial Race 13m,56,19,M,106.231666668256,8.17166666678893
Charlotte Trial Race 13m,336,42,M,106.384999998411,8.18346153833927
Charlotte Trial Race 13m,111,30,M,106.448333334923,8.1883333334556
Charlotte Trial Race 13m,7,33,F,106.748333334923,8.21141025653252
Charlotte Trial Race 13m,228,37,M,107.145000000795,8.24192307698421
Charlotte Trial Race 13m,282,33,M,107.276666665077,8.25205128192902
Charlotte Trial Race 13m,123,42,M,107.338333332539,8.25679487173374
Charlotte Trial Race 13m,309,38,M,107.541666666667,8.2724358974359
Charlotte Trial Race 13m,257,40,M,108.306666668256,8.33128205140432
Charlotte Trial Race 13m,224,47,F,108.534999998411,8.34884615372389
Charlotte Trial Race 13m,54,31,M,108.591666666667,8.35320512820513
Charlotte Trial Race 13m,278,52,M,108.954999999205,8.38115384609271
Charlotte Trial Race 13m,135,39,M,109.161666667461,8.39705128211241
Charlotte Trial Race 13m,304,46,M,109.553333334128,8.42717948724062
Charlotte Trial Race 13m,185,31,M,110.051666665077,8.46551282039055
Charlotte Trial Race 13m,223,39,M,110.238333332539,8.47987179481066
Charlotte Trial Race 13m,179,39,F,110.266666666667,8.48205128205128
Charlotte Trial Race 13m,314,34,M,110.881666668256,8.52935897448124
Charlotte Trial Race 13m,64,53,M,110.936666667461,8.53358974365088
Charlotte Trial Race 13m,105,27,M,111.236666667461,8.5566666667278
Charlotte Trial Race 13m,74,55,M,111.279999999205,8.55999999993887
Charlotte Trial Race 13m,270,37,F,111.370000000795,8.56692307698421
Charlotte Trial Race 13m,243,46,M,112.038333332539,8.6183333332722
Charlotte Trial Race 13m,242,46,M,112.218333331744,8.63217948705722
Charlotte Trial Race 13m,200,41,M,113.354999999205,8.71961538455425
Charlotte Trial Race 13m,238,42,M,113.775,8.75192307692308
Charlotte Trial Race 13m,353,35,M,114.111666667461,8.77782051288164
Charlotte Trial Race 13m,133,51,M,115.195000000795,8.86115384621498
Charlotte Trial Race 13m,297,33,F,115.291666666667,8.86858974358974
Charlotte Trial Race 13m,9,53,M,115.641666666667,8.89551282051282
Charlotte Trial Race 13m,68,45,M,116.278333334128,8.94448717954831
Charlotte Trial Race 13m,38,43,M,116.326666665077,8.94820512808286
Charlotte Trial Race 13m,331,42,M,116.370000000795,8.95153846159959
Charlotte Trial Race 13m,129,25,F,116.716666666667,8.97820512820513
Charlotte Trial Race 13m,47,35,F,117.015000001589,9.00115384627611
Charlotte Trial Race 13m,316,31,M,117.168333331744,9.01294871782645
Charlotte Trial Race 13m,162,29,M,117.313333332539,9.02410256404143
Charlotte Trial Race 13m,275,49,M,117.641666666667,9.04935897435897
Charlotte Trial Race 13m,232,35,M,117.808333333333,9.06217948717949
Charlotte Trial Race 13m,313,44,M,117.95,9.07307692307692
Charlotte Trial Race 13m,81,33,M,117.954999999205,9.07346153840041
Charlotte Trial Race 13m,245,25,F,118.228333334128,9.09448717954831
Charlotte Trial Race 13m,152,43,M,118.258333333333,9.09679487179487
Charlotte Trial Race 13m,96,53,M,118.320000000795,9.10153846159959
Charlotte Trial Race 13m,17,42,M,118.334999998411,9.10269230757004
Charlotte Trial Race 13m,178,39,F,118.471666665872,9.113205128144
Charlotte Trial Race 13m,215,56,M,118.496666665872,9.11512820506707
Charlotte Trial Race 13m,63,30,M,118.55,9.11923076923077
Charlotte Trial Race 13m,350,35,M,118.573333334923,9.12102564114791
Charlotte Trial Race 13m,252,23,M,118.579999999205,9.12153846147733
Charlotte Trial Race 13m,124,30,M,118.636666667461,9.12589743595857
Charlotte Trial Race 13m,250,34,F,118.645000000795,9.1265384615996
Charlotte Trial Race 13m,236,51,M,118.826666665077,9.14051282039055
Charlotte Trial Race 13m,164,44,M,119.668333331744,9.20525641013414
Charlotte Trial Race 13m,141,23,F,119.7,9.20769230769231
Charlotte Trial Race 13m,207,48,M,119.888333332539,9.22217948711836
Charlotte Trial Race 13m,73,16,F,120.095000000795,9.23807692313806
Charlotte Trial Race 13m,127,25,F,120.175,9.24423076923077
Charlotte Trial Race 13m,161,21,M,120.176666665077,9.24435897423671
Charlotte Trial Race 13m,87,33,F,120.451666665077,9.26551282039056
Charlotte Trial Race 13m,16,37,M,120.629999999205,9.27923076916964
Charlotte Trial Race 13m,102,60,M,120.723333334923,9.28641025653252
Charlotte Trial Race 13m,88,27,F,121.2,9.32307692307692
Charlotte Trial Race 13m,345,61,M,121.784999998411,9.36807692295466
Charlotte Trial Race 13m,131,44,F,121.85,9.37307692307692
Charlotte Trial Race 13m,156,38,M,122.121666665872,9.39397435891322
Charlotte Trial Race 13m,157,51,M,122.341666666667,9.41089743589744
Charlotte Trial Race 13m,247,29,M,122.428333334128,9.41756410262524
Charlotte Trial Race 13m,83,38,M,122.483333333333,9.42179487179487
Charlotte Trial Race 13m,120,41,M,122.808333333333,9.44679487179487
Charlotte Trial Race 13m,339,28,F,122.856666668256,9.45051282063509
Charlotte Trial Race 13m,231,31,F,123.076666665077,9.46743589731363
Charlotte Trial Race 13m,202,30,M,123.115000001589,9.47038461550688
Charlotte Trial Race 13m,142,31,M,123.698333334923,9.51525641037868
Charlotte Trial Race 13m,36,46,M,124.208333333333,9.55448717948718
Charlotte Trial Race 13m,364,26,M,124.561666667461,9.5816666667278
Charlotte Trial Race 13m,357,56,M,124.584999998411,9.58346153833927
Charlotte Trial Race 13m,363,34,F,124.590000001589,9.58384615396842
Charlotte Trial Race 13m,43,41,M,124.848333334923,9.60371794884021
Charlotte Trial Race 13m,159,36,M,125.370000000795,9.64384615390729
Charlotte Trial Race 13m,182,41,F,125.598333334923,9.66141025653252
Charlotte Trial Race 13m,351,23,F,125.711666667461,9.67012820518934
Charlotte Trial Race 13m,15,51,M,125.815000001589,9.67807692319919
Charlotte Trial Race 13m,121,40,M,125.893333331744,9.6841025639803
Charlotte Trial Race 13m,279,21,M,125.925,9.68653846153846
Charlotte Trial Race 13m,61,39,F,126.086666667461,9.69897435903549
Charlotte Trial Race 13m,180,39,M,126.308333333333,9.71602564102564
Charlotte Trial Race 13m,240,44,M,126.371666665872,9.7208974358363
Charlotte Trial Race 13m,130,48,M,126.904999999205,9.76192307686194
Charlotte Trial Race 13m,286,32,M,126.965000001589,9.76653846166073
Charlotte Trial Race 13m,132,45,M,127.668333331744,9.82064102551876
Charlotte Trial Race 13m,283,37,M,127.790000001589,9.83000000012227
Charlotte Trial Race 13m,366,21,F,127.798333334923,9.83064102576329
Charlotte Trial Race 13m,170,48,M,128.476666665077,9.88282051269825
Charlotte Trial Race 13m,118,43,F,128.570000000795,9.89000000006113
Charlotte Trial Race 13m,184,21,M,128.628333334128,9.89448717954831
Charlotte Trial Race 13m,20,26,M,128.633333333333,9.89487179487179
Charlotte Trial Race 13m,126,55,F,128.640000001589,9.89538461550688
Charlotte Trial Race 13m,30,41,M,128.658333333333,9.89679487179487
Charlotte Trial Race 13m,276,43,M,128.721666665872,9.90166666660553
Charlotte Trial Race 13m,172,38,M,128.946666665872,9.91897435891322
Charlotte Trial Race 13m,348,35,F,129.086666667461,9.92974358980472
Charlotte Trial Race 13m,291,33,M,129.270000000795,9.94384615390729
Charlotte Trial Race 13m,267,54,M,130.425,10.0326923076923
Charlotte Trial Race 13m,310,39,M,130.676666665077,10.052051281929
Charlotte Trial Race 13m,115,42,M,130.863333332539,10.0664102563491
Charlotte Trial Race 13m,244,23,F,131.016666666667,10.0782051282051
Charlotte Trial Race 13m,149,51,M,131.078333334128,10.0829487180098
Charlotte Trial Race 13m,187,36,F,131.176666665077,10.0905128203906
Charlotte Trial Race 13m,42,36,F,131.451666665077,10.1116666665444
Charlotte Trial Race 13m,92,37,M,131.521666665872,10.1170512819902
Charlotte Trial Race 13m,374,73,M,131.759999998411,10.1353846152623
Charlotte Trial Race 13m,210,40,F,131.766666666667,10.1358974358974
Charlotte Trial Race 13m,173,37,M,131.823333334923,10.1402564103787
Charlotte Trial Race 13m,76,39,F,131.825,10.1403846153846
Charlotte Trial Race 13m,128,38,M,131.848333334923,10.1421794873018
Charlotte Trial Race 13m,67,28,M,132.221666665872,10.1708974358363
Charlotte Trial Race 13m,112,23,F,132.258333333333,10.1737179487179
Charlotte Trial Race 13m,52,34,F,132.476666665077,10.1905128203906
Charlotte Trial Race 13m,175,44,M,132.65,10.2038461538462
Charlotte Trial Race 13m,346,49,M,132.965000001589,10.2280769231992
Charlotte Trial Race 13m,343,38,M,133.120000000795,10.2400000000611
Charlotte Trial Race 13m,227,42,M,133.196666665872,10.2458974358363
Charlotte Trial Race 13m,77,47,M,133.354999999205,10.2580769230158
Charlotte Trial Race 13m,196,25,F,133.566666666667,10.274358974359
Charlotte Trial Race 13m,197,20,F,133.573333334923,10.2748717949941
