event_name,bib_number,age,gender,finish_time,pace
Snowdrop 55 Hour Ultra,1,50,M,3300,13.1947221111555
Snowdrop 55 Hour Ultra,2,41,M,3300,14.1630901287554
Snowdrop 55 Hour Ultra,3,34,M,3300,14.4420131291028
Snowdrop 55 Hour Ultra,4,41,M,3300,16.4917541229385
Snowdrop 55 Hour Ultra,5,52,F,3300,16.4917541229385
Snowdrop 55 Hour Ultra,6,41,F,3300,19.6428571428571
Snowdrop 55 Hour Ultra,7,32,F,3300,19.9034981905911
Snowdrop 55 Hour Ultra,8,35,M,3300,20.5607476635514
Snowdrop 55 Hour Ultra,9,44,M,3300,20.952380952381
Snowdrop 55 Hour Ultra,10,46,F,3300,21.249195106246
Snowdrop 55 Hour Ultra,11,50,M,3300,21.5545395166558
Snowdrop 55 Hour Ultra,12,56,F,3300,21.7678100263852
Snowdrop 55 Hour Ultra,13,32,M,3300,21.8832891246684
Snowdrop 55 Hour Ultra,14,48,F,3300,21.9853431045969
Snowdrop 55 Hour Ultra,15,62,F,3300,23.7580993520518
Snowdrop 55 Hour Ultra,16,56,M,3300,27.4542429284526
Snowdrop 55 Hour Ultra,17,52,F,3300,28.3261802575107
Snowdrop 55 Hour Ultra,18,42,M,3300,29.0748898678414
Snowdrop 55 Hour Ultra,19,57,M,3300,29.2812777284827
Snowdrop 55 Hour Ultra,20,42,M,3300,29.4642857142857
Snowdrop 55 Hour Ultra,21,62,F,3300,29.6495956873315
Snowdrop 55 Hour Ultra,22,57,F,3300,29.6495956873315
Snowdrop 55 Hour Ultra,23,49,M,3300,29.8642533936652
Snowdrop 55 Hour Ultra,24,48,M,3300,30.6976744186047
Snowdrop 55 Hour Ultra,25,46,M,3300,30.6976744186047
Snowdrop 55 Hour Ultra,26,42,F,3300,30.8988764044944
Snowdrop 55 Hour Ultra,27,55,M,3300,31.3390313390313
Snowdrop 55 Hour Ultra,28,61,M,3300,32.0388349514563
Snowdrop 55 Hour Ultra,29,48,F,3300,32.258064516129
Snowdrop 55 Hour Ultra,30,43,M,3300,32.258064516129
Snowdrop 55 Hour Ultra,31,26,M,3300,32.512315270936
Snowdrop 55 Hour Ultra,32,36,M,3300,32.7380952380952
Snowdrop 55 Hour Ultra,33,41,M,3300,32.7380952380952
Snowdrop 55 Hour Ultra,34,39,M,3300,32.7380952380952
Snowdrop 55 Hour Ultra,35,49,F,3300,32.7380952380952
Snowdrop 55 Hour Ultra,36,42,F,3300,32.967032967033
Snowdrop 55 Hour Ultra,37,38,F,3300,32.967032967033
Snowdrop 55 Hour Ultra,38,40,F,3300,32.967032967033
Snowdrop 55 Hour Ultra,39,53,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,40,58,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,41,48,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,42,38,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,43,61,F,3300,32.967032967033
Snowdrop 55 Hour Ultra,44,40,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,45,38,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,46,40,F,3300,32.967032967033
Snowdrop 55 Hour Ultra,47,36,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,48,36,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,49,45,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,50,30,F,3300,32.967032967033
Snowdrop 55 Hour Ultra,51,31,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,52,55,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,53,43,F,3300,32.967032967033
Snowdrop 55 Hour Ultra,54,63,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,55,36,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,56,NA,F,3300,32.967032967033
Snowdrop 55 Hour Ultra,57,42,F,3300,32.967032967033
Snowdrop 55 Hour Ultra,58,38,M,3300,32.967032967033
Snowdrop 55 Hour Ultra,59,50,M,3300,32.967032967033
