event_name,bib_number,age,gender,finish_time,pace
Spartan SC Sprint - Sun Open,16615,36,M,48.8833333333333,11.6388888888889
Spartan SC Sprint - Sun Open,12584,39,M,49.1,11.6904761904762
Spartan SC Sprint - Sun Open,16067,38,M,50.55,12.0357142857143
Spartan SC Sprint - Sun Open,13837,14,M,52.6333333333333,12.531746031746
Spartan SC Sprint - Sun Open,11744,29,M,52.7833333333333,12.5674603174603
Spartan SC Sprint - Sun Open,11894,38,M,52.9833333333333,12.6150793650794
Spartan SC Sprint - Sun Open,11703,33,M,54,12.8571428571429
Spartan SC Sprint - Sun Open,12595,45,M,54.2,12.9047619047619
Spartan SC Sprint - Sun Open,13998,37,M,54.3166666666667,12.9325396825397
Spartan SC Sprint - Sun Open,11521,30,M,54.7833333333333,13.0436507936508
Spartan SC Sprint - Sun Open,16536,38,M,55.6666666666667,13.2539682539683
Spartan SC Sprint - Sun Open,12201,54,M,55.7,13.2619047619048
Spartan SC Sprint - Sun Open,16323,35,M,55.75,13.2738095238095
Spartan SC Sprint - Sun Open,11592,30,M,55.9666666666667,13.3253968253968
Spartan SC Sprint - Sun Open,13027,19,M,56.7333333333333,13.5079365079365
Spartan SC Sprint - Sun Open,13973,19,M,56.75,13.5119047619048
Spartan SC Sprint - Sun Open,13908,38,M,56.8666666666667,13.5396825396825
Spartan SC Sprint - Sun Open,13171,18,M,57.0666666666667,13.5873015873016
Spartan SC Sprint - Sun Open,13751,29,M,57.35,13.6547619047619
Spartan SC Sprint - Sun Open,12533,53,M,57.35,13.6547619047619
Spartan SC Sprint - Sun Open,12457,30,M,57.3666666666667,13.6587301587302
Spartan SC Sprint - Sun Open,11745,27,M,57.8666666666667,13.7777777777778
Spartan SC Sprint - Sun Open,13757,23,M,57.9666666666667,13.8015873015873
Spartan SC Sprint - Sun Open,11865,39,M,58.4166666666667,13.9087301587302
Spartan SC Sprint - Sun Open,12080,42,M,58.55,13.9404761904762
Spartan SC Sprint - Sun Open,13359,30,M,58.7666666666667,13.9920634920635
Spartan SC Sprint - Sun Open,12220,42,M,59.15,14.0833333333333
Spartan SC Sprint - Sun Open,16470,17,M,59.2333333333333,14.1031746031746
Spartan SC Sprint - Sun Open,12137,38,M,59.3833333333333,14.1388888888889
Spartan SC Sprint - Sun Open,16040,29,M,59.4166666666667,14.1468253968254
Spartan SC Sprint - Sun Open,16471,47,M,59.5666666666667,14.1825396825397
Spartan SC Sprint - Sun Open,12612,27,M,59.7166666666667,14.218253968254
Spartan SC Sprint - Sun Open,12490,36,M,59.7333333333333,14.2222222222222
Spartan SC Sprint - Sun Open,16173,27,M,59.8,14.2380952380952
Spartan SC Sprint - Sun Open,16516,21,M,59.85,14.25
Spartan SC Sprint - Sun Open,16021,43,M,59.9666666666667,14.2777777777778
Spartan SC Sprint - Sun Open,11608,31,M,60.25,14.3452380952381
Spartan SC Sprint - Sun Open,12995,23,M,60.3166666666667,14.3611111111111
Spartan SC Sprint - Sun Open,13220,18,M,60.3166666666667,14.3611111111111
Spartan SC Sprint - Sun Open,11903,34,M,60.55,14.4166666666667
Spartan SC Sprint - Sun Open,11664,30,M,60.75,14.4642857142857
Spartan SC Sprint - Sun Open,16097,35,M,60.8666666666667,14.4920634920635
Spartan SC Sprint - Sun Open,13752,37,M,60.8833333333333,14.4960317460317
Spartan SC Sprint - Sun Open,16582,23,M,60.95,14.5119047619048
Spartan SC Sprint - Sun Open,16229,20,M,61,14.5238095238095
Spartan SC Sprint - Sun Open,13500,22,M,61.0166666666667,14.5277777777778
Spartan SC Sprint - Sun Open,16257,23,M,61.2666666666667,14.5873015873016
Spartan SC Sprint - Sun Open,11798,47,M,61.2833333333333,14.5912698412698
Spartan SC Sprint - Sun Open,16231,26,M,61.3166666666667,14.5992063492063
Spartan SC Sprint - Sun Open,13711,29,M,61.5666666666667,14.6587301587302
Spartan SC Sprint - Sun Open,12944,38,M,61.9833333333333,14.7579365079365
Spartan SC Sprint - Sun Open,12587,20,M,62.1666666666667,14.8015873015873
Spartan SC Sprint - Sun Open,16011,41,M,62.4333333333333,14.8650793650794
Spartan SC Sprint - Sun Open,13588,20,M,62.4333333333333,14.8650793650794
Spartan SC Sprint - Sun Open,16405,27,M,62.8,14.952380952381
Spartan SC Sprint - Sun Open,13818,36,F,63.2166666666667,15.0515873015873
Spartan SC Sprint - Sun Open,13829,40,M,63.3,15.0714285714286
Spartan SC Sprint - Sun Open,12910,49,M,63.4,15.0952380952381
Spartan SC Sprint - Sun Open,12112,35,M,63.4666666666667,15.1111111111111
Spartan SC Sprint - Sun Open,16554,19,M,63.5,15.1190476190476
Spartan SC Sprint - Sun Open,12648,33,M,63.6666666666667,15.1587301587302
Spartan SC Sprint - Sun Open,13932,30,M,63.6666666666667,15.1587301587302
Spartan SC Sprint - Sun Open,12774,25,M,63.6666666666667,15.1587301587302
Spartan SC Sprint - Sun Open,13043,31,M,63.85,15.202380952381
Spartan SC Sprint - Sun Open,12115,32,M,63.9166666666667,15.218253968254
Spartan SC Sprint - Sun Open,12144,41,M,63.9166666666667,15.218253968254
Spartan SC Sprint - Sun Open,13627,41,M,63.9666666666667,15.2301587301587
Spartan SC Sprint - Sun Open,11649,23,F,64.3666666666667,15.3253968253968
Spartan SC Sprint - Sun Open,12989,27,M,64.4833333333333,15.3531746031746
Spartan SC Sprint - Sun Open,12919,41,M,64.5666666666667,15.3730158730159
Spartan SC Sprint - Sun Open,16150,14,M,64.6,15.3809523809524
Spartan SC Sprint - Sun Open,13105,36,M,64.6166666666667,15.3849206349206
Spartan SC Sprint - Sun Open,13248,35,M,64.75,15.4166666666667
Spartan SC Sprint - Sun Open,16315,35,M,64.75,15.4166666666667
Spartan SC Sprint - Sun Open,13660,26,M,65.0166666666667,15.4801587301587
Spartan SC Sprint - Sun Open,11838,33,M,65.0333333333333,15.484126984127
Spartan SC Sprint - Sun Open,13299,49,M,65.1,15.5
Spartan SC Sprint - Sun Open,12246,40,M,65.3166666666667,15.5515873015873
Spartan SC Sprint - Sun Open,16001,48,M,65.3333333333333,15.5555555555556
Spartan SC Sprint - Sun Open,11853,23,M,65.5,15.5952380952381
Spartan SC Sprint - Sun Open,12339,23,M,65.7,15.6428571428571
Spartan SC Sprint - Sun Open,12562,29,M,65.85,15.6785714285714
Spartan SC Sprint - Sun Open,13871,34,M,65.9,15.6904761904762
Spartan SC Sprint - Sun Open,11512,22,M,66.1,15.7380952380952
Spartan SC Sprint - Sun Open,16352,17,M,66.3,15.7857142857143
